Country          COUNT(Countr
---------------  ------------
Argentina        1           
Australia        1           
Austria          1           
Belgium          1           
Chile            1           
Denmark          1           
Finland          1           
Ireland          1           
Italy            1           
Netherlands      1           
Norway           1           
Poland           1           
Spain            1           
Sweden           1           
Czech Republic   2           
Hungary          2           
India            2           
Portugal         2           
United Kingdom   3           
Germany          4           
Brazil           5           
France           5           
Canada           8           
USA              13          
